n_min;n_max;avg;an rm;an rm-1;an fa;an tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr
10;12;11;29.6908510204082;24.2162979591837;15.585806122449;19.115306122449;7.01888173743668;2.33000360486416;2.37681788003178;3.6417851201906;19.6734693877551;16.3877551020408;15.6530612244898;16.3265306122449;1426.5306122449;1038.77551020408;471.428571428571;532.265306122449
13;15;14;23.0032542857143;19.60968;13.7748485714286;16.5868571428571;9.35191453533735;2.65915754156322;2.50820283279918;6.07324197327939;40.3142857142857;32.1714285714286;30.4571428571429;38.4;1168.57142857143;1031.42857142857;780;549
16;18;17;30.056175;25.957665;19.93772;19.016;9.30628499354172;2.20421563769912;2.31477599002965;5.05683533191243;39.95;34.65;33.9;47.45;990;815;1360;1037.85
19;21;20;25.92068;21.030956;15.341772;20.6368;11.254137104326;2.65780478626278;2.82849008552856;10.5271126969408;82.24;65.08;62.52;100.16;796;1084;420;853.16
22;24;23;23.33208;19.6930133333333;12.4809366666667;15.2056666666667;13.396348678681;2.50413057373351;2.49493541374611;6.36130932636685;56.9333333333333;48.1;42.7;49.9666666666667;646.666666666667;810;260;857.733333333333
25;27;26;24.0941705882353;21.4243823529412;15.0753588235294;16.3235294117647;9.88921630772934;2.58271925256907;2.85743893876375;8.81958803649363;160.352941176471;145;152.411764705882;172.294117647059;605.882352941176;835.294117647059;470.588235294118;836.64705882353
28;30;29;19.2318642857143;17.6229285714286;12.5873071428571;13.7557142857143;11.7019305291276;3.36701638711735;2.8648344878625;40.1747185778981;231.5;204.928571428571;214.785714285714;290.428571428571;500;507.142857142857;950;905.357142857143
31;33;32;18.8891944444444;18.61315;12.5209777777778;14.2477777777778;10.8459455844796;3.09369250816756;2.80691225564117;21.8567783974089;226.777777777778;215.666666666667;203.333333333333;245.666666666667;366.666666666667;966.666666666667;761.111111111111;1119.61111111111
34;36;35;19.8873588235294;19.4845;13.4102235294118;18.2517647058824;14.3572169148441;3.14087112239756;2.94076939146933;41.479512318222;132;117.647058823529;119.764705882353;176.058823529412;476.470588235294;629.411764705882;382.352941176471;1353.64705882353
37;39;38;14.5295529411765;16.2513823529412;10.0596470588235;12.3582352941176;28.8087545143368;3.43459870729705;2.88544501041538;30.1240500460295;193.411764705882;189.058823529412;179.176470588235;298.529411764706;482.352941176471;882.352941176471;1664.70588235294;891.058823529412
40;42;41;13.7865428571429;12.7408523809524;7.84817619047619;10.1047619047619;15.791244310498;3.90261828489316;3.1168034632537;14.9264914197329;159.285714285714;124.952380952381;108.142857142857;178.857142857143;690.476190476191;842.857142857143;376.190476190476;945.095238095238
43;45;44;19.5049727272727;21.2157363636364;15.4453363636364;17.85;12.3088169364656;3.17620528485864;2.55392928372158;6.51272969183127;185.727272727273;191.272727272727;151.909090909091;289.181818181818;381.818181818182;790.909090909091;345.454545454545;1279.27272727273
46;48;47;22.4877470588235;20.5692529411765;16.0274588235294;19.6423529411765;22.9016403582918;2.59102985831623;2.54658059053173;4.67374363658771;77.2941176470588;59.5294117647059;57.2352941176471;54.4117647058824;535.294117647059;617.647058823529;370.588235294118;1503.05882352941
49;51;50;17.05215;16.9920375;13.1173375;16.82875;24.0537712230384;3.71023185340547;2.87570725566651;4.94184499221571;97.75;80.625;63.125;92.375;475;737.5;262.5;637
52;54;53;13.76074;11.84938;7.11446;14.064;17.4966106294072;3.49572936824892;3.22897222532918;42.4335896123785;423.2;391.6;382;576.8;300;220;680;671.2
55;57;56;10.1039777777778;11.2666296296296;5.89914074074074;11.11;18.2789781322091;4.16265713513934;3.24488548879574;117.488187130371;314.185185185185;280.296296296296;269.259259259259;416.888888888889;270.37037037037;470.37037037037;311.111111111111;1314.48148148148
58;60;59;9.26540714285714;11.6564928571429;5.29482142857143;11.4778571428571;50.3580501002717;4.06763324059005;3.13917712488391;6.75714003939408;222;158.071428571429;144.142857142857;175.714285714286;428.571428571429;557.142857142857;378.571428571429;745.5
61;63;62;11.0689409090909;13.1330318181818;8.43268181818182;13.8240909090909;43.5707313234394;4.30950863033232;3.20384989899232;15.5462734213118;213.090909090909;158;149.5;175.772727272727;254.545454545455;359.090909090909;595.454545454546;1189.31818181818
64;66;65;6.19121111111111;6.99823333333333;4.69818888888889;8.77555555555556;21.385115804028;4.26985465338396;3.17500684167893;21.1444641555647;384.888888888889;313.222222222222;313.777777777778;386.333333333333;277.777777777778;477.777777777778;377.777777777778;1006.33333333333
67;69;68;2.9423;10.2705;4.0805;8.51;11.5489374613453;5.1003980270813;2.43148181864385;4.45122546626306;118;52;61;55;200;400;200;1994
70;72;71;5.8452;12.3531;5.6302;3.07;14.236367724641;5.43678182267725;2.93105383130126;5.41114058355438;154;85;69;144;200;1000;200;2684
73;75;74;12.1798857142857;14.2929428571429;6.09665714285714;14.1757142857143;38.2264786454123;3.53413359369511;3.22922230162036;6.32666555619156;137;55.8571428571429;38.4285714285714;46.4285714285714;385.714285714286;914.285714285714;571.428571428571;1516.14285714286
76;78;77;16.0933;15.60825;13.0552;19.055;21.2699907730421;3.87372999198517;2.96655374032687;5.47668272688048;103;56.5;52;60;250;250;650;1032.5
79;81;80;9.74434285714286;11.1671857142857;5.83027142857143;10.7814285714286;41.649344833484;3.65543231009451;3.43186670246092;5.83257326627226;135.142857142857;83.4285714285714;81.8571428571429;81.1428571428571;271.428571428571;400;271.428571428571;2614.42857142857
82;84;83;2.4238;4.79506666666667;1.8949;3.52;29.4741733585496;5.43074389065795;3.93464506482111;12.490872955087;349;228;170;210.666666666667;366.666666666667;666.666666666667;400;314
85;87;86;4.75257272727273;6.5968;2.68891818181818;7.40454545454546;22.2548600461329;5.72445926604217;4.2717947495955;18.8897131675594;401.090909090909;264.272727272727;234.545454545455;565.363636363636;390.909090909091;745.454545454546;545.454545454546;980.636363636364
88;90;89;9.8745;12.0218;3.95835;7.29;80.3032987914675;4.48271751666727;2.83633451791794;6.09723959661972;124.5;78.5;71.5;198;600;400;550;2193.5
91;93;92;6.18235;3.0416;2.7747;6.54;10.5348462317873;5.37438600830986;3.76011327415258;7.99898455385175;489.5;425.5;453;499.5;250;50;150;539
94;96;95;9.02206;6.76236;10.05;9.762;42.7079443835095;4.316649454053;2.93883271597279;15.1061805418692;263.8;147.6;142.6;176.4;380;760;480;491.8
97;99;98;11.311675;11.0001;14.94295;20.835;40.4863597595491;3.67919760660798;2.95091000908946;6.25956429017932;192.5;110;102;114.25;450;450;350;1300.25
98;100;99;8.37386;7.44334;11.8179;15.838;35.1479249338817;4.90817089223445;3.61207921477012;110.888755324091;279;208;176.2;389;420;400;360;1067
