Nodes;Mixed;Angular Only Old;Lin Yen ;Eades;Huang et al.;Angular Only;sd ar;ar_up;ar_down;a;b
11;66.3449606299212;66.2188976377952;55.3149606299213;60.833046875;62.7912598425197;25.7528571428571;7.67868416307055;33.4315413059277;18.0741729797866;Nodes;=11
12;70.4879020979021;70.5264335664335;57.431048951049;60.9692361111111;63.5081118881119;23.8225;13.5024105872495;37.3249105872495;10.3200894127505;Nodes;=12
13;58.9869811320755;59.0982389937107;50.7421383647799;50.5873291925466;53.966149068323;35.83;13.1197808670724;48.9497808670724;22.7102191329276;Nodes;=13
14;58.9220710059172;59.0745562130178;53.0522485207101;51.2316568047337;53.9918934911243;26.6766666666667;8.76696260590481;35.4436292725715;17.9097040607619;Nodes;=14
15;49.2331460674157;49.425;45.0588764044944;41.5102793296089;43.5720111731844;24.064;7.49818674376975;31.5621867437698;16.5658132562302;Nodes;=15
16;51.2176506024097;51.5643975903615;45.0220481927711;41.6216766467066;43.4977710843373;33.9036363636364;13.9895920403186;47.893228403955;19.9140443233178;Nodes;=16
17;49.0309333333333;49.3351333333333;43.7712751677852;39.3078666666666;41.4475333333333;29.0388888888889;11.4620378254092;40.5009267142981;17.5768510634797;Nodes;=17
18;46.9008474576271;46.9385593220339;42.479406779661;37.3104237288136;38.6322881355932;28.6315384615385;9.87464669929499;38.5061851608335;18.7568917622435;Nodes;=18
19;45.97375;46.123125;42.3090178571429;35.430625;38.0701785714286;28.3547058823529;8.46308167694181;36.8177875592948;19.8916242054111;Nodes;=19
20;47.0511827956989;47.6980645161291;41.3998924731183;37.1364516129032;39.4338709677419;32.315;8.39833370918953;40.7133337091895;23.9166662908105;Nodes;=20
21;42.9556862745098;43.6900980392157;39.7885294117647;31.8380392156863;34.623431372549;31.1065217391304;11.9981421322014;43.1046638713318;19.1083796069291;Nodes;=21
22;43.665487804878;44.0429268292683;39.155243902439;32.9479518072289;35.105;26.61;9.33949677445204;35.949496774452;17.270503225548;Nodes;=22
23;40.5053333333333;40.3353333333333;38.7948;31.0521052631579;33.601447368421;27.3714285714286;11.8270894118563;39.1985179832849;15.5443391595723;Nodes;=23
24;45.0135616438356;45.0835616438356;40.8261643835616;34.7190410958904;36.5330136986301;24.6666666666667;6.50710381045208;31.1737704771188;18.1595628562146;Nodes;=24
25;42.3902380952381;42.5469879518072;39.8575;32.7954651162791;34.0418604651163;27.7254545454545;8.3464643576024;36.0719189030569;19.3789901878521;Nodes;=25
26;42.049268292683;42.254268292683;40.3279268292683;33.6726506024096;35.1911111111111;29.8711111111111;10.269300273367;40.1404113844781;19.6018108377441;Nodes;=26
27;41.7954347826087;42.2248913043478;38.2050537634409;31.9965591397849;34.6163440860215;30.9758823529412;9.89867987336161;40.8745622263028;21.0772024795796;Nodes;=27
28;38.111625;38.724125;35.676125;26.4398765432099;29.2046913580247;30.776;9.37311642030395;40.1491164203039;21.402883579696;Nodes;=28
29;40.0789855072464;41.1195652173913;36.8517391304348;28.2223188405797;30.1213235294118;30.9833333333333;11.4146087682992;42.3979421016326;19.5687245650341;Nodes;=29
30;38.19;38.8004838709677;35.4698387096774;26.6533870967742;28.1979032258065;30.6336842105263;12.8664232319486;43.5001074424749;17.7672609785778;Nodes;=30
31;38.3225882352941;38.5658823529412;33.7483529411765;29.3910588235294;28.2091764705882;28.4104761904762;11.4093766158325;39.8198528063087;17.0010995746437;Nodes;=31
32;41.41;42.345503875969;38.05203125;29.1246511627907;33.0251162790697;36.5107142857143;11.6029156118996;48.1136298976139;24.9077986738147;Nodes;=32
33;38.9546951219512;39.7219512195122;35.3268292682927;26.7923493975904;29.02;33.3677358490566;12.3052836746455;45.6730195237021;21.0624521744111;Nodes;=33
34;40.0881818181818;40.636256684492;36.1392513368984;26.7142553191489;29.3415957446808;32.9843548387097;12.6981517463631;45.6825065850728;20.2862030923465;Nodes;=34
35;37.1204639175258;38.1479487179487;33.0434536082474;23.0553571428571;26.3134183673469;32.9230107526882;10.6726695638649;43.5956803165531;22.2503411888233;Nodes;=35
36;34.501906614786;35.5884046692607;31.806796875;20.2444747081712;23.154513618677;32.5680459770115;9.56259068811345;42.130636665125;23.0054552888981;Nodes;=36
37;32.6204347826087;33.331237458194;29.4986956521739;18.9299666666667;21.8937666666667;30.3148484848485;10.2091388703646;40.523987355213;20.1057096144839;Nodes;=37
38;31.6719871794872;32.6374276527331;29.1025961538461;18.5173801916933;20.6477955271566;30.1119158878505;8.73660388742958;38.84851977528;21.3753120004209;Nodes;=38
39;29.6334226190476;30.3305654761904;27.214375;16.5664201183432;19.7401785714286;28.2996899224806;9.1560181512472;37.4557080737278;19.1436717712334;Nodes;=39
40;29.7192857142857;30.85475;27.4197841726619;15.2503928571429;18.7817921146953;29.2015418502203;9.7524547307791;38.9539965809994;19.4490871194412;Nodes;=40
41;29.0157205240175;30.1086462882096;26.4078947368421;14.7026086956522;18.2789519650655;28.7534391534392;8.96498889431924;37.7184280477584;19.7884502591199;Nodes;=41
42;28.2931531531532;29.5731674208145;26.0238288288288;13.9466216216216;17.0916216216216;28.2031746031746;8.83547247807615;37.0386470812508;19.3677021250985;Nodes;=42
43;28.3327155172414;29.2877155172414;26.0090948275862;14.032025862069;17.157316017316;27.9021359223301;9.27673020090912;37.1788661232392;18.625405721421;Nodes;=43
44;28.2422727272727;29.2631313131313;25.9289340101523;14.1033333333333;17.2102040816327;27.7821301775148;8.86554876807654;36.6476789455913;18.9165814094383;Nodes;=44
45;27.5520710059172;28.3538095238095;25.7056213017751;12.8914619883041;17.4795882352941;26.2864788732394;9.5032061926103;35.7896850658497;16.7832726806291;Nodes;=45
46;27.0393835616438;27.7917808219178;24.7555102040816;12.7282432432432;17.1515540540541;26.3692913385827;9.11335067935632;35.482642017939;17.2559406592264;Nodes;=46
47;27.9975396825397;28.9837301587302;26.0609677419355;13.853253968254;16.6984920634921;26.7753211009174;9.67340211408346;36.4487232150009;17.101918986834;Nodes;=47
48;29.7314583333333;31.0877083333333;26.9738541666667;14.9921875;18.8028125;29.1083544303797;9.70977612438048;38.8181305547602;19.3985783059993;Nodes;=48
49;29.2777319587629;30.0441237113402;26.0096907216495;13.9654639175258;16.6345360824742;28.7872941176471;9.22691977549482;38.0142138931419;19.5603743421522;Nodes;=49
50;27.5387931034483;28.2812068965517;25.1824137931035;13.8071186440678;16.3698305084746;26.9883673469388;7.99868201303054;34.9870493599693;18.9896853339082;Nodes;=50
51;26.3125;27.013875;24.472;11.45475;15.5735;25.9022857142857;8.83855653691906;34.7408422512048;17.0637291773666;Nodes;=51
52;25.5192045454545;27.0579545454545;24.4811363636364;12.0958426966292;16.0712359550562;26.555;8.56772909980882;35.1227290998088;17.9872709001912;Nodes;=52
53;25.8302631578947;26.9135398230089;23.5589285714286;11.7577391304348;14.9038596491228;26.6578504672897;8.70485757125983;35.3627080385496;17.9529928960299;Nodes;=53
54;26.653738317757;28.0150943396226;24.1110280373832;9.65138888888889;15.2193518518518;27.695294117647;8.75486769337378;36.4501618110208;18.9404264242733;Nodes;=54
55;25.8653174603175;27.24464;24.6496031746032;10.1747244094488;15.7136507936508;26.125;7.66571995244938;33.7907199524494;18.4592800475506;Nodes;=55
56;25.0984671532847;26.4836496350365;23.7470802919708;9.98788321167884;14.3641605839416;25.3760317460317;9.08871740824766;34.4647491542794;16.2873143377841;Nodes;=56
57;24.4933018867924;26.255;22.7818867924528;9.3638679245283;12.7527358490566;26.2031428571429;8.89715245223109;35.100295309374;17.3059904049118;Nodes;=57
58;25.8149565217391;27.4201739130435;24.0387719298246;10.5593913043478;14.0106956521739;26.5665094339623;8.40894071155139;34.9754501455137;18.1575687224109;Nodes;=58
59;24.4656481481481;25.4066666666667;23.1634259259259;10.0100917431193;12.6125688073394;25.3685046728972;8.74812721777491;34.1166318906721;16.6203774551223;Nodes;=59
60;24.3261832061069;26.4119083969466;23.0336641221374;8.41335877862596;12.9415267175572;25.9580158730159;8.03266660778014;33.990682480796;17.9253492652357;Nodes;=60
61;22.5132298136646;23.7050310559006;21.3491194968554;7.90043478260869;12.43725;23.6030188679245;7.54893267287779;31.1519515408023;16.0540861950468;Nodes;=61
62;22.4187333333333;24.4720666666667;22.4065333333333;8.02198675496688;11.8462251655629;24.2585135135135;7.83813140345168;32.0966449169652;16.4203821100618;Nodes;=62
63;22.8953225806452;24.5517886178862;21.666935483871;9.09096774193548;12.3654838709677;24.2761983471074;7.25692442386332;31.5331227709707;17.0192739232441;Nodes;=63
64;23.3648760330578;24.8789256198347;22.7670833333333;7.74677685950413;12.4349166666667;24.8789256198347;8.75637632448995;33.6353019443247;16.1225492953448;Nodes;=64
65;23.9391818181818;25.08;22.6477064220183;8.45018181818182;12.086;24.7468224299065;9.25774449874377;34.0045669286503;15.4890779311628;Nodes;=65
66;23.8562244897959;25.3432653061224;22.5135714285714;7.52602040816326;12.2390816326531;25.350824742268;9.36295366837026;34.7137784106383;15.9878710738978;Nodes;=66
67;23.9290099009901;25.4688118811881;22.5653465346535;8.26069306930693;12.2483168316832;24.8759793814433;8.98291209507829;33.8588914765216;15.893067286365;Nodes;=67
68;22.3168131868132;23.513;21.7034065934066;7.20582417582417;11.4236263736264;23.3876404494382;7.45396783027059;30.8416082797088;15.9336726191676;Nodes;=68
69;24.4467857142857;26.0845238095238;22.8897619047619;7.42107142857143;12.0317857142857;25.52575;8.11731915822309;33.6430691582231;17.4084308417769;Nodes;=69
70;22.930987654321;25.7572839506173;22.060375;6.90320987654321;10.4141975308642;25.479125;7.26976523461767;32.7488902346177;18.2093597653823;Nodes;=70
71;23.8193406593407;25.7417582417582;23.1656043956044;7.44769230769231;12.3411111111111;25.4022471910112;8.03013171419331;33.4323789052045;17.3721154768179;Nodes;=71
72;22.689010989011;24.8162222222222;21.7667777777778;7.305;11.2808695652174;24.6848863636364;7.69485019523891;32.3797365588753;16.9900361683975;Nodes;=72
73;23.9960714285714;25.7233333333333;22.6953571428571;7.44023529411765;12.0081176470588;25.7233333333333;8.16284342930854;33.8861767626419;17.5604899040248;Nodes;=73
74;23.3367924528302;25.9757142857143;22.4400952380952;8.19858490566038;11.5033333333333;25.9757142857143;8.31505514311042;34.2907694288247;17.6606591426039;Nodes;=74
75;23.3771296296296;25.0042592592593;21.5974074074074;6.8712962962963;11.2959259259259;24.9418691588785;7.84137215211739;32.7832413109959;17.1004970067611;Nodes;=75
76;21.4753153153153;23.668018018018;20.6945945945946;5.75107142857143;10.4775675675676;23.668018018018;7.63152204761991;31.2995400656379;16.0364959703981;Nodes;=76
77;22.2731666666667;24.0004166666667;21.6233333333333;6.67658333333333;11.1404237288136;23.8971428571429;7.14263116107417;31.039774018217;16.7545116960687;Nodes;=77
78;21.95575;23.7266666666667;21.46625;6.34183333333333;10.2317948717949;23.7266666666667;7.35046758168947;31.0771342483561;16.3761990849772;Nodes;=78
79;21.500752688172;24.1861290322581;21.6793548387097;5.62236559139785;9.77391304347827;24.1861290322581;7.94330536175755;32.1294343940156;16.2428236705005;Nodes;=79
80;21.411568627451;23.1732673267327;20.268431372549;5.24382352941176;8.7219801980198;23.1732673267327;7.85095791721124;31.0242252439439;15.3223094095214;Nodes;=80
81;21.2004494382022;22.8637777777778;20.6714444444445;5.36769230769231;9.29142857142857;22.8637777777778;7.47353707119707;30.3373148489748;15.3902407065807;Nodes;=81
82;19.7814942528736;21.1675862068966;19.4081395348837;4.94784090909091;9.39057471264368;21.1675862068966;5.9743603268598;27.1419465337564;15.1932258800368;Nodes;=82
83;20.6347674418605;22.8851162790698;19.9205813953488;5.27127906976744;9.47860465116279;22.8851162790698;6.31627938587566;29.2013956649454;16.5688368931941;Nodes;=83
84;20.4158974358974;22.4835897435898;19.1492307692308;5.8475641025641;8.0798717948718;22.4835897435898;6.34354933103055;28.8271390746203;16.1400404125592;Nodes;=84
85;20.2882191780822;23.3623287671233;20.2498630136986;5.52561643835616;8.94890410958904;23.3623287671233;7.27877785081548;30.6411066179388;16.0835509163078;Nodes;=85
86;18.152;20.8267142857143;19.4915942028985;5.14714285714286;9.35347826086957;20.8267142857143;6.9286278042999;27.7553420900142;13.8980864814144;Nodes;=86
87;20.5670588235294;22.7955882352941;20.2468656716418;5.16691176470588;8.17867647058823;22.7955882352941;6.81428687530573;29.6098751105999;15.9813013599884;Nodes;=87
88;20.7566666666667;22.0665217391304;21.0733333333333;4.95072463768116;9.58942028985507;22.0665217391304;6.69137676550221;28.7578985046326;15.3751449736282;Nodes;=88
89;20.2425396825397;23.1326984126984;20.8504761904762;5.46238095238095;8.72;23.13;6.13267037281798;29.262670372818;16.997329627182;Nodes;=89
90;19.9187931034483;22.2665517241379;19.6577586206897;4.96237288135593;8.25844827586207;22.2665517241379;6.21248955711619;28.4790412812541;16.0540621670217;Nodes;=90
91;20.6461739130435;23.3755652173913;21.1509565217391;4.69077586206896;9.21973684210526;23.3755652173913;7.28315506522021;30.6587202826115;16.0924101521711;Nodes;=91
92;19.3980672268908;21.5789915966387;19.9299159663866;4.37991596638655;8.29991596638655;21.5789915966387;6.11975384391384;27.6987454405525;15.4592377527248;Nodes;=92
93;20.180895522388;22.8514179104478;20.449328358209;4.68522388059702;8.35985074626866;22.8514179104478;6.17266276768678;29.0240806781345;16.678755142761;Nodes;=93
94;19.0358940397351;21.7469078947368;20.3825657894737;4.1351948051948;8.59555555555556;21.7469078947368;5.98330837558021;27.730216270317;15.7635995191566;Nodes;=94
95;18.3784782608696;21.0967391304348;18.995652173913;4.46410071942446;7.97379562043796;21.0967391304348;6.29820437428077;27.3949435047156;14.798534756154;Nodes;=95
96;19.2226351351351;21.7824324324324;19.5635616438356;4.30168918918919;7.52877551020408;21.7824324324324;6.59730625523293;28.3797386876654;15.1851261771995;Nodes;=96
97;18.5334057971014;20.7075362318841;19.5240579710145;3.82697841726619;7.7868345323741;20.7075362318841;6.04335405152704;26.7508902834111;14.664182180357;Nodes;=97
98;18.5295804195804;20.8955944055944;19.0089510489511;3.89251748251748;7.46468531468531;20.8955944055944;6.10628441257795;27.0018788181724;14.7893099930165;Nodes;=98
99;18.6704861111111;20.8189583333333;19.1499305555555;3.50604166666667;7.45465277777778;20.8189583333333;6.3805794417308;27.1995377750641;14.4383788916025;Nodes;=99
100;18.6521428571429;21.3281428571429;19.4575;3.99148936170213;7.56507142857143;21.3281428571429;5.8090399144477;27.1371827715906;15.5191029426952;Nodes;=100
